Index,Red,Green,Blue
0,0,55,212
1,3,55,216
2,6,55,219
3,9,55,223
4,12,55,227
5,15,56,231
6,17,56,234
7,20,57,238
8,22,57,241
9,24,58,245
10,26,58,248
11,28,59,252
12,30,59,255
13,32,60,255
14,34,61,255
15,35,62,255
16,37,63,255
17,38,64,255
18,39,65,255
19,40,66,255
20,41,67,255
21,42,69,255
22,42,70,255
23,43,71,255
24,43,73,255
25,43,74,255
26,44,76,255
27,44,77,255
28,44,79,255
29,44,80,255
30,43,82,255
31,43,84,255
32,43,86,255
33,42,87,255
34,41,89,255
35,41,91,255
36,40,93,255
37,39,95,255
38,38,97,255
39,37,99,255
40,36,101,255
41,35,104,255
42,34,106,255
43,33,108,255
44,31,110,255
45,30,113,255
46,29,115,255
47,27,117,255
48,26,119,255
49,24,122,255
50,23,124,255
51,21,127,255
52,20,129,255
53,18,132,255
54,17,134,255
55,15,137,255
56,14,139,255
57,12,142,255
58,11,144,255
59,9,147,255
60,8,149,255
61,7,152,255
62,5,154,255
63,4,157,255
64,3,159,255
65,2,162,255
66,0,165,255
67,0,167,255
68,0,170,255
69,0,172,255
70,0,175,255
71,0,177,255
72,0,180,255
73,0,182,255
74,0,185,255
75,0,187,255
76,0,190,255
77,0,192,255
78,0,195,255
79,0,197,255
80,0,199,255
81,0,202,255
82,0,204,255
83,0,206,255
84,0,209,255
85,0,211,255
86,0,213,255
87,0,215,255
88,0,218,255
89,1,220,255
90,2,222,254
91,4,224,251
92,5,226,248
93,7,228,244
94,8,230,241
95,10,232,237
96,12,233,233
97,14,235,230
98,15,237,226
99,18,239,222
100,20,240,219
101,22,242,215
102,24,243,211
103,27,245,207
104,29,246,203
105,31,248,199
106,34,249,195
107,37,250,191
108,40,252,187
109,42,253,183
110,45,254,179
111,48,255,175
112,51,255,171
113,54,255,167
114,57,255,163
115,61,255,159
116,64,255,155
117,67,255,151
118,71,255,147
119,74,255,143
120,78,255,139
121,81,255,135
122,85,255,131
123,88,255,127
124,92,255,123
125,96,255,119
126,100,255,115
127,103,255,111
128,107,255,107
129,111,255,103
130,115,255,100
131,119,255,96
132,123,255,92
133,127,255,88
134,131,255,85
135,135,255,81
136,139,255,78
137,143,255,74
138,147,255,71
139,151,255,67
140,155,255,64
141,159,255,61
142,163,255,57
143,167,255,54
144,171,255,51
145,175,255,48
146,179,254,45
147,183,253,42
148,187,252,40
149,191,250,37
150,195,249,34
151,199,248,31
152,203,246,29
153,207,245,27
154,211,243,24
155,215,242,22
156,219,240,20
157,222,239,18
158,226,237,16
159,230,235,14
160,233,233,12
161,237,232,10
162,241,230,8
163,244,228,7
164,248,226,5
165,251,224,4
166,254,222,2
167,255,220,1
168,255,218,0
169,255,215,0
170,255,213,0
171,255,211,0
172,255,209,0
173,255,206,0
174,255,204,0
175,255,202,0
176,255,199,0
177,255,197,0
178,255,195,0
179,255,192,0
180,255,190,0
181,255,187,0
182,255,185,0
183,255,182,0
184,255,180,0
185,255,177,0
186,255,175,0
187,255,172,0
188,255,170,0
189,255,167,0
190,255,165,0
191,255,162,1
192,255,160,3
193,255,157,4
194,255,154,5
195,255,152,7
196,255,149,9
197,255,147,10
198,255,144,12
199,255,142,14
200,255,139,16
201,255,137,18
202,255,134,20
203,255,132,22
204,255,129,25
205,255,127,27
206,255,124,29
207,255,122,32
208,255,120,35
209,255,117,37
210,255,115,40
211,255,113,43
212,255,110,46
213,255,108,49
214,255,106,52
215,255,104,55
216,255,101,58
217,255,99,61
218,255,97,65
219,255,95,68
220,255,93,71
221,255,91,75
222,255,89,78
223,255,87,82
224,255,86,86
225,255,84,89
226,255,82,93
227,255,80,97
228,255,79,100
229,255,77,104
230,255,76,108
231,255,74,112
232,255,73,116
233,255,71,120
234,255,70,124
235,255,69,128
236,255,67,132
237,255,66,136
238,255,65,140
239,255,64,144
240,255,63,148
241,255,62,152
242,255,61,156
243,255,60,160
244,255,59,164
245,252,59,168
246,248,58,172
247,245,58,176
248,241,57,180
249,238,57,184
250,234,56,188
251,231,56,192
252,227,55,196
253,223,55,200
254,219,55,204
255,216,55,208
