Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. Protein q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,MW [kDa],Gene Symbol,"Abundance Ratio: (Heavy, Soluble_S59L-Treat) / (Light, Soluble_S59L-Treat)","Abundance Ratio: (Heavy, Soluble_S59L-WT) / (Light, Soluble_S59L-WT)","Abundance Ratio P-Value: (Heavy, Soluble_S59L-Treat) / (Light, Soluble_S59L-Treat)","Abundance Ratio P-Value: (Heavy, Soluble_S59L-WT) / (Light, Soluble_S59L-WT)","Abundance: F9: Light, Sample, S8, Soluble_S59L-Treat, 4","Abundance: F11: Light, Sample, S7, Soluble_S59L-Treat, 3","Abundance: F13: Light, Sample, S6, Soluble_S59L-Treat, 2","Abundance: F15: Light, Sample, S5, Soluble_S59L-Treat, 1","Abundance: F10: Light, Sample, S4, Soluble_S59L-WT, 4","Abundance: F12: Light, Sample, S3, Soluble_S59L-WT, 3","Abundance: F14: Light, Sample, S2, Soluble_S59L-WT, 2","Abundance: F16: Light, Sample, S1, Soluble_S59L-WT, 1","Abundance: F9: Heavy, Sample, S8, Soluble_S59L-Treat, 4","Abundance: F11: Heavy, Sample, S7, Soluble_S59L-Treat, 3","Abundance: F13: Heavy, Sample, S6, Soluble_S59L-Treat, 2","Abundance: F15: Heavy, Sample, S5, Soluble_S59L-Treat, 1","Abundance: F10: Heavy, Sample, S4, Soluble_S59L-WT, 4","Abundance: F12: Heavy, Sample, S3, Soluble_S59L-WT, 3","Abundance: F14: Heavy, Sample, S2, Soluble_S59L-WT, 2","Abundance: F16: Heavy, Sample, S1, Soluble_S59L-WT, 1",Modifications,WikiPathways,Reactome Pathways
FALSE,High,Master Protein,A2ASS6,Titin [OS=Mus musculus],0,7598.791,48,1246,13817,1246,3904.1,Ttn,1.02,0.52,0.794891057,0.008775368,13481302019,9938504933,10762783896,7773056087,15615955530,16434543938,14679096472,13967601462,11969561206,10109800507,12375270072,7948204650,7051080763,7705907841,10236904534,8050811331,,,
FALSE,High,Master Protein,Q02566,Myosin-6 [OS=Mus musculus],0,1711.557,65,153,6967,46,223.4,Myh6,1.287,0.755,0.036234394,0.085705749,7018885934,4840167771,5500583845,3673723304,7663306705,8606800684,9936318744,6714936600,7714444165,5920906050,8421041175,4977464005,4287774211,5502224771,9082522697,5985605370,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],Striated muscle contraction,Striated Muscle Contraction
FALSE,High,Master Protein,Q91Z83,Myosin-7 [OS=Mus musculus],0,1357.773,63,141,4908,36,222.7,Myh7,1.677,0.006,0.008081506,0.20461638,400781656.4,402440556.1,453122284.3,365595898.8,69644425.25,71356864,80971960.5,84844071.94,744803499.8,584314839.3,941552867.3,553554129.8,2237235.75,12770677.5,,,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],Regulation of cardiac hypertrophy by miR-208; Striated muscle contraction,
FALSE,High,Master Protein,E9Q401,Ryanodine receptor 2 [OS=Mus musculus],0,961.342,48,187,1845,187,564.5,Ryr2,2.021,1.329,0.001131643,0.061824173,698192988.5,664915762.4,671366818,569700318.8,1464353478,1349271767,1267378276,1333311847,1271037544,1233971415,1524383195,1254001413,1549673381,1619010942,2020123508,1963678292,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],SIDS susceptibility pathways; Myometrial relaxation and contraction pathways; Calcium regulation in cardiac cells,Stimuli-sensing channels; Ion homeostasis
FALSE,High,Master Protein,A2AAJ9,Obscurin [OS=Mus musculus],0,805.581,35,178,1264,178,966,Obscn,0.94,0.763,0.334046227,0.045531072,832583830.2,653679642,674535786.8,536794338.5,414514827.5,375498315.8,358491871.8,369145257.5,709894675.3,618652207.7,722115659.5,501246467.9,249269061.6,255622622.8,311619105.4,315922143.5,Acetyl [N-Term],,RHOA GTPase cycle; NRAGE signals death through JNK; G alpha (12/13) signalling events; RHOQ GTPase cycle
FALSE,High,Master Protein,Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 [OS=Mus musculus],0,792.775,44,166,1233,166,531.7,Dync1h1,3.477,1.382,0.000352555,0.050170605,458083650.1,437286496.9,339989903.3,449896341.3,462135386.3,408798833.5,326724930.1,502531195.6,1585380466,1527162301,1496146832,1428606213,477651090.8,532094188.9,479137567.9,754697012.3,,,MHC class II antigen presentation; Neutrophil degranulation; Separation of Sister Chromatids; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; COPI-mediated anterograde transport; Recruitment of NuMA to mitotic centrosomes; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; COPI-independent Golgi-to-ER retrograde traffic; Aggrephagy; Anchoring of the basal body to the plasma membrane; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; AURKA Activation by TPX2
FALSE,High,Master Protein,P16546,"Spectrin alpha chain, non-erythrocytic 1 [OS=Mus musculus]",0,780.686,65,132,1473,131,284.4,Sptan1,1.137,0.418,0.128614348,0.012790618,1252518982,969172111.1,1046510135,928636929.3,876013450.1,965341337.6,945357653.1,1022422952,1248940474,1196437741,1311879359,973095674.1,306076562.9,270167979.1,549648337.9,510952377.3,,FAS pathway and stress induction of HSP regulation,Neutrophil degranulation; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interaction between L1 and Ankyrins; COPI-mediated anterograde transport; RHOU GTPase cycle; RHOV GTPase cycle; Caspase-mediated cleavage of cytoskeletal proteins
FALSE,High,Master Protein,Q9QXS1,Plectin [OS=Mus musculus],0,731.26,46,186,1309,184,533.9,Plec,1.492,0.629,0.004594547,0.04421575,635829173.4,587534830.6,592481768.7,558771053.1,1077570170,1018686091,774191401.6,1006301133,799474035.6,882901181.4,926642180.6,827670704.8,510692496,566768756.6,678189515.3,714520628.2,,Alpha 6 beta 4 integrin signaling pathway; EGFR1 signaling pathway,Type I hemidesmosome assembly; Caspase-mediated cleavage of cytoskeletal proteins
FALSE,High,Master Protein,O55143,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 [OS=Mus musculus],0,703.398,54,56,3795,48,114.8,Atp2a2,1.878,1.451,0.000722637,0.035884754,11199138378,10444834273,10197080544,10505677692,21774888527,20259679021,18011493957,20980481941,20778871058,18952402683,22668894712,19970251826,24597100741,26420947690,30958609382,33888643198,Acetyl [N-Term],Alzheimer's disease; Myometrial relaxation and contraction pathways; Calcium regulation in cardiac cells,Ion homeostasis; Ion transport by P-type ATPases; Reduction of cytosolic Ca++ levels
FALSE,High,Master Protein,Q62261,"Spectrin beta chain, non-erythrocytic 1 [OS=Mus musculus]",0,671.89,63,114,1165,110,274.1,Sptbn1,2.952,2.04,0.000428707,0.000950132,510170077.8,444177988.4,412119475.3,404623756,239401216.2,265318023.9,309045860,297509405.4,1468797037,1344447640,1391123316,1010734514,444624244.5,512714693.1,665727710.1,705924055.2,,,COPI-mediated anterograde transport; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interaction between L1 and Ankyrins; RHOU GTPase cycle; RHOV GTPase cycle
FALSE,High,Master Protein,P11531,Dystrophin [OS=Mus musculus],0,626.247,42,119,930,119,425.6,Dmd,0.897,0.387,0.13837017,0.003330889,687502780.3,550555276.1,569901483.3,434460534.3,423063213,434992069.3,385937831.3,393516123.4,575395279.8,519650615.1,582302553.8,370484645.8,131209404.2,150574441,194719736.8,170179175.3,,Striated muscle contraction,Striated Muscle Contraction; Formation of the dystrophin-glycoprotein complex (DGC)
FALSE,High,Master Protein,Q05793,Basement membrane-specific heparan sulfate proteoglycan core protein [OS=Mus musculus],0,618.694,45,107,1141,107,398,Hspg2,0.767,0.696,0.000822629,0.135043826,476042134.4,495075124.5,564339300.3,407417725,239488943.3,319707987.9,261900059.3,279793316,354013920,365267929.9,447061567.5,322452869.3,106987512.8,174175079.3,257949608.6,248575648,,,
FALSE,High,Master Protein,Q61554,Fibrillin-1 [OS=Mus musculus],0,579.133,47,93,1032,93,312.1,Fbn1,0.08,0.033,0.000985348,0.000345402,1810985333,1516109304,1901100194,1223529578,359642132.4,405155175.9,311396412.4,876746605.1,68320125,143693802,153496913.3,96546121,12191570.53,9277289.406,9898832.063,48623439.88,,Comprehensive IL-17A signaling,Integrin cell surface interactions; TGF-beta receptor signaling activates SMADs; Molecules associated with elastic fibres; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Degradation of the extracellular matrix
FALSE,High,Master Protein,Q8VHX6,Filamin-C [OS=Mus musculus],0,559.761,47,93,1003,82,290.9,Flnc,2.889,2.025,0.001178374,0.023631014,775262415.5,572930804.8,494718727.5,589166279.8,154482929.5,164002640,106197066.3,137820353.6,2102117309,1763768522,1887860199,1495030427,200657517.3,299419596.9,285123851.9,309474448.1,Acetyl [N-Term],,Cell-extracellular matrix interactions
FALSE,High,Master Protein,Q60597,2-oxoglutarate dehydrogenase complex component E1 [OS=Mus musculus],0,553.995,60,52,1761,52,116.4,Ogdh,2.124,0.947,0.000958771,0.722392734,2983615428,2434393242,2363245681,2661081247,6662070266,6163652678,4999753507,6184897624,6325999432,5178003821,6406101310,5594385771,5156220179,5446009587,6170710963,6271324088,,TCA cycle; Amino acid metabolism; Tryptophan metabolism,Mitochondrial protein degradation; Glycine degradation; OGDH complex synthesizes succinyl-CoA from 2-OG
FALSE,High,Master Protein,Q62234,Myomesin-1 [OS=Mus musculus],0,551.868,65,85,1240,85,185.3,Myom1,2.468,0.835,0.001119428,0.166124177,1228964262,986242439.3,968201932.1,806299648.5,1487976626,1445775832,1562916769,1586814180,2563275227,2495624314,2876146401,1940246601,1048780024,1135166963,1666988887,1407456648,Met-loss+Acetyl [N-Term]; Acetyl [N-Term],Striated muscle contraction,
FALSE,High,Master Protein,Q68FD5,Clathrin heavy chain 1 [OS=Mus musculus],0,515.218,62,75,976,75,191.4,Cltc,2.023,1.557,0.001097896,0.005973414,1030990924,929661532.5,792258627.4,889284271.2,255087126.4,242711511.9,225827730.2,406308361.1,2085606099,1880346184,2036629046,1780279099,341245976.8,350895057,392479212.9,681434220.5,Met-loss+Acetyl [N-Term],IL-7 signaling pathway; Kit receptor signaling pathway,"MHC class II antigen presentation; Recycling pathway of L1; Cargo recognition for clathrin-mediated endocytosis; Golgi Associated Vesicle Biogenesis; RHOU GTPase cycle; LDL clearance; RHOV GTPase cycle; Retrograde neurotrophin signalling; Formation of annular gap junctions; Lysosome Vesicle Biogenesis; WNT5A-dependent internalization of FZD4; WNT5A-dependent internalization of FZD2, FZD5 and ROR2; VLDLR internalisation and degradation"
FALSE,High,Master Protein,P63038,"60 kDa heat shock protein, mitochondrial [OS=Mus musculus]",0,505.045,76,40,1931,40,60.9,Hspd1,0.857,0.28,0.027434299,0.001871078,9835798861,8041841628,8154321779,7787069148,8576767526,8764197558,7411183697,8687347108,7764304989,6606445027,7601051980,6965701028,1886105153,2164955588,2775574875,2765769297,,SIDS susceptibility pathways,Mitochondrial protein degradation; Mitochondrial protein import
FALSE,High,Master Protein,Q99P72,Reticulon-4 [OS=Mus musculus],0,461.349,68,48,665,48,126.5,Rtn4,3.146,2.482,0.000622224,0.004931505,1286200066,1155953822,777862513.6,988382136.7,22622112.25,22718839.13,16831709.25,27426354.69,4131668785,3562073799,3099822922,2723132576,47456369.25,45559985.5,55786626.75,80556930.5,Acetyl [N-Term],Spinal cord injury,Axonal growth inhibition (RHOA activation)
FALSE,High,Master Protein,Q8CGK3,"Lon protease homolog, mitochondrial [OS=Mus musculus]",0,459.669,69,47,953,47,105.8,Lonp1,1.24,0.572,0.003073919,0.004496443,4155176982,3234285556,3355263181,3088148684,681878928.5,698084461.5,612127123.3,677642012.3,5056287786,4089978835,4507480189,3695255476,346663373.5,372889649.1,374952097.5,469391368,,,Mitochondrial protein degradation
FALSE,High,Master Protein,Q8CC88,von Willebrand factor A domain-containing protein 8 [OS=Mus musculus],0,438.759,52,82,936,82,213.3,Vwa8,0.753,0.463,0.007275586,0.000370659,1359367843,1264664514,1207367404,1234775310,1218411234,1149349876,1066638903,1289561405,976345770.8,912494676.2,1028941459,969378436.5,539523295.3,543899596,568272081.8,583113965.8,,,
FALSE,High,Master Protein,Q5SX39,Myosin-4 [OS=Mus musculus],0,430.796,18,46,1644,1,222.7,Myh4,,,,,,,,,,,,,,,,,,,,,,Striated muscle contraction,
