Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. Protein q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,MW [kDa],Gene Symbol,"Abundance Ratio: (Heavy, Insoluble_S59L-Treat) / (Light, Insoluble_S59L-Treat)","Abundance Ratio: (Heavy, Insoluble_S59L-WT) / (Light, Insoluble_S59L-WT)","Abundance Ratio P-Value: (Heavy, Insoluble_S59L-Treat) / (Light, Insoluble_S59L-Treat)","Abundance Ratio P-Value: (Heavy, Insoluble_S59L-WT) / (Light, Insoluble_S59L-WT)","Abundance: F1: Light, Sample, I8, Insoluble_S59L-Treat, 4","Abundance: F3: Light, Sample, I7, Insoluble_S59L-Treat, 3","Abundance: F5: Light, Sample, I6, Insoluble_S59L-Treat, 2","Abundance: F7: Light, Sample, I5, Insoluble_S59L-Treat, 1","Abundance: F2: Light, Sample, I4, Insoluble_S59L-WT, 4","Abundance: F4: Light, Sample, I3, Insoluble_S59L-WT, 3","Abundance: F6: Light, Sample, I2, Insoluble_S59L-WT, 2","Abundance: F8: Light, Sample, I1, Insoluble_S59L-WT, 1","Abundance: F1: Heavy, Sample, I8, Insoluble_S59L-Treat, 4","Abundance: F3: Heavy, Sample, I7, Insoluble_S59L-Treat, 3","Abundance: F5: Heavy, Sample, I6, Insoluble_S59L-Treat, 2","Abundance: F7: Heavy, Sample, I5, Insoluble_S59L-Treat, 1","Abundance: F2: Heavy, Sample, I4, Insoluble_S59L-WT, 4","Abundance: F4: Heavy, Sample, I3, Insoluble_S59L-WT, 3","Abundance: F6: Heavy, Sample, I2, Insoluble_S59L-WT, 2","Abundance: F8: Heavy, Sample, I1, Insoluble_S59L-WT, 1",Modifications,WikiPathways,Reactome Pathways
FALSE,High,Master Protein,A2ASS6,Titin [OS=Mus musculus],0,15535.921,63,1711,46913,1711,3904.1,Ttn,1.176,0.633,0.106312194,0.018374533,91092711566,59113845934,60665004677,45185563819,92123341393,1.31804E+11,1.08239E+11,1.23804E+11,88797741463,66432836118,75886431935,55652274068,49567998139,75250039480,87288220691,86827149497,,,
FALSE,High,Master Protein,Q02566,Myosin-6 [OS=Mus musculus],0,2686.8,70,182,39006,63,223.4,Myh6,1.193,0.701,0.103137532,0.056654177,74167600809,49270658095,45709097890,43947666765,96732666534,1.18267E+11,1.00374E+11,1.05965E+11,74181820259,55642338559,65581880110,55403184642,50784045496,71177058548,88206459798,86614960224,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],Striated muscle contraction,Striated Muscle Contraction
FALSE,High,Master Protein,Q91Z83,Myosin-7 [OS=Mus musculus],0,2194.417,68,162,26389,41,222.7,Myh7,1.872,0.81,0.003052278,0.02035178,3447270554,3294281434,2978731281,3873177367,382163305.2,522066973.6,446762906.3,717990730.3,6550078196,5153713350,6572918239,7141369654,313727876.8,463191354.9,311877191,573414185.4,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],Regulation of cardiac hypertrophy by miR-208; Striated muscle contraction,
FALSE,High,Master Protein,A2AAJ9,Obscurin [OS=Mus musculus],0,1349.848,46,239,2541,239,966,Obscn,0.896,0.847,0.159380226,0.134413372,2155919781,1410847416,1380701160,1089086008,797201619.9,1181461988,939277183.6,1169696301,1859153875,1254555268,1445684642,982936022.5,541496672,918476575.3,943413649.8,1080414643,Acetyl [N-Term],,RHOA GTPase cycle; NRAGE signals death through JNK; G alpha (12/13) signalling events; RHOQ GTPase cycle
FALSE,High,Master Protein,Q9QXS1,Plectin [OS=Mus musculus],0,1212.662,58,237,2555,235,533.9,Plec,1.592,0.95,0.002538059,0.663027265,763039837.1,584996528.8,528884622.1,575321387.1,788540663.1,1028707871,821129162.8,893184471.3,1126114102,937693282.3,997333806.6,910031695.5,579754160.5,850204410.3,990062286.6,975160062.1,,Alpha 6 beta 4 integrin signaling pathway; EGFR1 signaling pathway,Type I hemidesmosome assembly; Caspase-mediated cleavage of cytoskeletal proteins
FALSE,High,Master Protein,E9Q557,Desmoplakin [OS=Mus musculus],0,1200.995,64,171,3085,171,332.7,Dsp,2.768,1.997,0.00019404,0.006082455,2994979666,2167676381,2136842147,2026676106,1693381396,2157031383,1770710220,1958353532,8542988999,5824412955,6865265704,5276515823,2642953853,3896919422,4242820907,4323935058,,Lung fibrosis; Alpha 6 beta 4 integrin signaling pathway,Neutrophil degranulation; Formation of the cornified envelope; RND3 GTPase cycle; RND1 GTPase cycle; Apoptotic cleavage of cell adhesion  proteins
FALSE,High,Master Protein,P16546,"Spectrin alpha chain, non-erythrocytic 1 [OS=Mus musculus]",0,1048.239,69,141,2118,140,284.4,Sptan1,1.15,0.404,0.023300077,0.004981109,1211666050,892281531.5,913293768.8,1547732036,1431847980,1658159160,1431298033,1787081350,1333240133,1071756896,1147893840,1686433145,465309015.8,549678792.8,722868860.1,881650939.6,,FAS pathway and stress induction of HSP regulation,Neutrophil degranulation; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interaction between L1 and Ankyrins; COPI-mediated anterograde transport; RHOU GTPase cycle; RHOV GTPase cycle; Caspase-mediated cleavage of cytoskeletal proteins
FALSE,High,Master Protein,E9Q401,Ryanodine receptor 2 [OS=Mus musculus],0,1005.424,46,173,1661,173,564.5,Ryr2,2.599,1.719,0.003821273,0.01091951,470967317.1,244758471.1,217917508.4,165082518,591242046.9,818478653.9,699859717.6,850152108.9,902912137.7,562346953.6,640741494.4,516002555,838693246.5,1272910778,1533017393,1615500546,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],SIDS susceptibility pathways; Myometrial relaxation and contraction pathways; Calcium regulation in cardiac cells,Stimuli-sensing channels; Ion homeostasis
FALSE,High,Master Protein,Q62261,"Spectrin beta chain, non-erythrocytic 1 [OS=Mus musculus]",0,951.128,68,131,1967,125,274.1,Sptbn1,1.992,1.355,0.001113658,0.030096259,846718700.4,625495594.5,596403393.4,898586095.9,778324784.8,930106698.4,890551833.4,1000223514,1714541418,1201662724,1479809057,1760056398,875528117.9,1141808341,1331451892,1507867774,Acetyl [N-Term],,COPI-mediated anterograde transport; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interaction between L1 and Ankyrins; RHOU GTPase cycle; RHOV GTPase cycle
FALSE,High,Master Protein,P11531,Dystrophin [OS=Mus musculus],0,947.084,51,159,1667,159,425.6,Dmd,1.121,0.532,0.06497551,0.002716842,1113597077,667695145.5,683563777.6,798662299.5,656381396.7,949625985.1,784692420.4,1020153646,1128045898,748283730.3,838653177.4,896301138.4,325815941.6,448185260.6,497611391.3,581648019,,Striated muscle contraction,Striated Muscle Contraction; Formation of the dystrophin-glycoprotein complex (DGC)
FALSE,High,Master Protein,Q60675,Laminin subunit alpha-2 [OS=Mus musculus],0,925.695,59,129,2092,129,343.6,Lama2,0.22,0.14,0.000380273,3.16683E-05,3569744086,2135857559,2631164639,2514408601,1817266509,2015850692,1592695649,2274226441,694924780.3,504789866.1,539766370.6,708654853,232011980.8,286007311.1,219050612.5,364873775.9,,Focal adhesion: PI3K-Akt-mTOR signaling pathway; Alpha 6 beta 4 integrin signaling pathway; Focal adhesion,
FALSE,High,Master Protein,Q05793,Basement membrane-specific heparan sulfate proteoglycan core protein [OS=Mus musculus],0,876.721,53,121,1845,121,398,Hspg2,0.683,0.81,0.019683626,0.335989389,1170367756,627220749.8,620007410.3,718797693.6,394130397.5,375847817.5,339572728.6,463789486.3,613362529.3,402151514.8,451008716.5,569657119,270344452.3,248171888.5,408520327.3,443352546.5,,,
